mNGS_sample_name,MAG_ID,nPID,nTID,nSID,Study_Group,Cycle,Visit,CollectDate,Source,tool,size,contigs,N50,SCG_completeness,domain,phylum,class,order,family,genus,species,MAG_derep,MAG_derep_num
3279_10,3279_10_S41_concoct_135,D01,D6,D01_D6,Donor,NA,6,NA,stool,concoct,1783682,356,6648,94,Bacteria,Bacillota,Clostridia,Oscillospirales,Ruminococcaceae,Angelakisella,Angelakisella sp900547385,Angelakisella sp900547385_1,90
3279_10,3279_10_S41_metabat2_58,D01,D6,D01_D6,Donor,NA,6,NA,stool,metabat2,2024183,17,266719,96,Bacteria,Bacillota,Clostridia,Oscillospirales,Acutalibacteraceae,CAG-217,CAG-217 sp000436335,CAG-217 sp000436335_1,46
3279_10,3279_10_S41_concoct_123,D01,D6,D01_D6,Donor,NA,6,NA,stool,concoct,2278022,27,195478,96,Bacteria,Bacillota,Clostridia,Oscillospirales,Acutalibacteraceae,Ruminococcoides,Ruminococcoides intestinale,Ruminococcoides intestinale_1,8
3279_10,3279_10_S41_metabat2_20,D01,D6,D01_D6,Donor,NA,6,NA,stool,metabat2,2185018,49,81664,96,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Eubacterium_F,Eubacterium_F sp000433735,Eubacterium_F sp000433735_1,108
3279_10,3279_10_S41_concoct_80,D01,D6,D01_D6,Donor,NA,6,NA,stool,concoct,2979366,45,90942,100,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Fusicatenibacter,Fusicatenibacter saccharivorans,Fusicatenibacter saccharivorans_1,33
3279_10,3279_10_S41_concoct_49,D01,D6,D01_D6,Donor,NA,6,NA,stool,concoct,2240655,44,98958,94,Bacteria,Bacillota,Clostridia,Oscillospirales,Acutalibacteraceae,Pseudoruminococcus,Pseudoruminococcus massiliensis,Pseudoruminococcus massiliensis_1,86
3279_10,3279_10_S41_metabat2_86,D01,D6,D01_D6,Donor,NA,6,NA,stool,metabat2,3829458,93,65467,88,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola dorei,Phocaeicola dorei_1,85
3279_10,3279_10_S41_metabat2_81,D01,D6,D01_D6,Donor,NA,6,NA,stool,metabat2,2346403,290,12359,92,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospira,Lachnospira eligens_A,Lachnospira eligens_A_1,127
3279_10,3279_10_S41_concoct_85,D01,D6,D01_D6,Donor,NA,6,NA,stool,concoct,2713941,548,7150,94,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus thermophilus,NA,NA
3279_10,3279_10_S41_metabat2_103,D01,D6,D01_D6,Donor,NA,6,NA,stool,metabat2,4195756,271,32442,84,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides merdae,NA,NA
3279_10,3279_10_S41_concoct_83,D01,D6,D01_D6,Donor,NA,6,NA,stool,concoct,3742363,113,65893,100,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Anthropogastromicrobium,Anthropogastromicrobium aceti,Anthropogastromicrobium aceti_1,35
3279_10,3279_10_S41_metabat2_97,D01,D6,D01_D6,Donor,NA,6,NA,stool,metabat2,2624620,69,101332,82,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Roseburia_C,Roseburia_C amylophila,Roseburia_C amylophila_1,40
3279_10,3279_10_S41_metabat2_57,D01,D6,D01_D6,Donor,NA,6,NA,stool,metabat2,1116466,16,103863,78,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes putredinis,Alistipes putredinis_1,4
3279_10,3279_10_S41_metabat2_24,D01,D6,D01_D6,Donor,NA,6,NA,stool,metabat2,1779928,60,45030,78,Bacteria,Pseudomonadota,Alphaproteobacteria,RF32,CAG-239,CAZU01,CAZU01 sp000432275,CAZU01 sp000432275_1,172
3279_10,3279_10_S41_concoct_40,D01,D6,D01_D6,Donor,NA,6,NA,stool,concoct,3022979,671,5339,78,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,Odoribacter,Odoribacter splanchnicus,Odoribacter splanchnicus_1,21
3279_10,3279_10_S41_metabat2_92,D01,D6,D01_D6,Donor,NA,6,NA,stool,metabat2,1707089,80,42570,80,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Blautia_A,Blautia_A wexlerae,Blautia_A wexlerae_1,51
3279_10,3279_10_S41_metabat2_64,D01,D6,D01_D6,Donor,NA,6,NA,stool,metabat2,2468792,50,85053,82,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospira,Lachnospira hominis,Lachnospira hominis_1,167
3279_10,3279_10_S41_concoct_38,D01,D6,D01_D6,Donor,NA,6,NA,stool,concoct,3151393,59,75185,98,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Butyribacter,Butyribacter sp000436755,NA,NA
3279_10,3279_10_S41_metabat2_19,D01,D6,D01_D6,Donor,NA,6,NA,stool,metabat2,1349988,227,7081,84,Bacteria,Bacillota,Clostridia,TANB77,CAG-508,CAG-269,CAG-269 sp905213875,CAG-269 sp905213875_1,628
3279_10,3279_10_S41_concoct_71,D01,D6,D01_D6,Donor,NA,6,NA,stool,concoct,6806261,399,27098,86,Unclassified Bacteria,NA,NA,NA,NA,NA,Unclassified Bacteria sp.,NA,NA
3279_10,3279_10_S41_concoct_42,D01,D6,D01_D6,Donor,NA,6,NA,stool,concoct,1848646,946,2068,71,Bacteria,Verrucomicrobiota,Verrucomicrobiia,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Akkermansia muciniphila,Akkermansia muciniphila_1,6
3279_10,3279_10_S41_metabat2_54,D01,D6,D01_D6,Donor,NA,6,NA,stool,metabat2,1632707,55,45502,84,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Hominisplanchenecus,Hominisplanchenecus faecis,Hominisplanchenecus faecis_1,32
3279_10,3279_10_S41_concoct_68,D01,D6,D01_D6,Donor,NA,6,NA,stool,concoct,1700300,392,4490,75,Bacteria,Pseudomonadota,Alphaproteobacteria,RF32,CAG-239,CAZU01,CAZU01 sp000432275,NA,NA
3279_10,3279_10_S41_metabat2_120,D01,D6,D01_D6,Donor,NA,6,NA,stool,metabat2,1810539,246,8972,67,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Agathobacter,Agathobacter rectalis,Agathobacter rectalis_1,47
3279_10,3279_10_S41_concoct_109,D01,D6,D01_D6,Donor,NA,6,NA,stool,concoct,7833722,763,13906,69,Bacteria,Bacillota,Clostridia,Oscillospirales,Oscillospiraceae,Oscillibacter,Oscillibacter segnis,NA,NA
3279_10,3279_10_S41_concoct_37,D01,D6,D01_D6,Donor,NA,6,NA,stool,concoct,3457240,579,7550,73,Bacteria,Bacillota,Bacilli,Erysipelotrichales,Coprobacillaceae,Faecalibacillus,Faecalibacillus faecis,NA,NA
3279_10,3279_10_S41_metabat2_26,D01,D6,D01_D6,Donor,NA,6,NA,stool,metabat2,2017558,314,8129,61,Bacteria,Bacillota,Clostridia,Oscillospirales,Oscillospiraceae,Limivicinus,Limivicinus sp003150355,Limivicinus sp003150355_1,94
3279_10,3279_10_S41_concoct_145,D01,D6,D01_D6,Donor,NA,6,NA,stool,concoct,1599133,492,4128,61,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Eubacterium_G,Eubacterium_G ventriosum,Eubacterium_G ventriosum_1,81
3279_10,3279_10_S41_concoct_103,D01,D6,D01_D6,Donor,NA,6,NA,stool,concoct,785916,354,2485,59,Bacteria,Bacillota,Bacilli,RF39,UBA660,CAG-302,CAG-302 sp000431795,CAG-302 sp000431795_1,153
3279_10,3279_10_S41_concoct_111,D01,D6,D01_D6,Donor,NA,6,NA,stool,concoct,1540438,410,4399,55,Bacteria,Bacillota,Clostridia,Oscillospirales,Oscillospiraceae,Vescimonas,Vescimonas coprocola,Vescimonas coprocola_1,7
3279_10,3279_10_S41_metabat2_47,D01,D6,D01_D6,Donor,NA,6,NA,stool,metabat2,2553781,227,15709,53,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes shahii,Alistipes shahii_1,123
3279_10,3279_10_S41_metabat2_115,D01,D6,D01_D6,Donor,NA,6,NA,stool,metabat2,1408919,409,3681,59,Bacteria,Bacillota,Clostridia,Oscillospirales,Oscillospiraceae,Onthomonas,Onthomonas sp900545815,Onthomonas sp900545815_1,137
3279_10,3279_10_S41_concoct_104,D01,D6,D01_D6,Donor,NA,6,NA,stool,concoct,2226965,259,14364,69,Bacteria,Bacillota,Clostridia,Oscillospirales,Butyricicoccaceae,Agathobaculum,Agathobaculum hominis,NA,NA
3279_11,3279_11_S42_concoct_135,D01,D8,D01_D8,Donor,NA,8,NA,stool,concoct,2168350,30,144268,100,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium adolescentis,Bifidobacterium adolescentis_1,121
3279_11,3279_11_S42_concoct_91,D01,D8,D01_D8,Donor,NA,8,NA,stool,concoct,2662012,118,43497,100,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Sutterella,Sutterella wadsworthensis_A,Sutterella wadsworthensis_A_1,10
3279_11,3279_11_S42_concoct_71,D01,D8,D01_D8,Donor,NA,8,NA,stool,concoct,1914202,106,32777,100,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Anaerotardibacter,Anaerotardibacter sp000436075,Anaerotardibacter sp000436075_1,50
3279_11,3279_11_S42_concoct_104,D01,D8,D01_D8,Donor,NA,8,NA,stool,concoct,2033970,141,25755,100,Bacteria,Cyanobacteriota,Vampirovibrionia,Gastranaerophilales,Gastranaerophilaceae,Stercorousia,Stercorousia sp001917115,Stercorousia sp001917115_1,262
3279_11,3279_11_S42_metabat2_18,D01,D8,D01_D8,Donor,NA,8,NA,stool,metabat2,2621152,210,19154,100,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes shahii,NA,NA
3279_11,3279_11_S42_concoct_73,D01,D8,D01_D8,Donor,NA,8,NA,stool,concoct,3255893,182,92725,100,Unclassified Bacteria,NA,NA,NA,NA,NA,Unclassified Bacteria sp.,NA,NA
3279_11,3279_11_S42_metabat2_1,D01,D8,D01_D8,Donor,NA,8,NA,stool,metabat2,1831376,19,196505,98,Bacteria,Bacillota,Negativicutes,Veillonellales,Dialisteraceae,Dialister,Dialister invisus,Dialister invisus_1,71
3279_11,3279_11_S42_concoct_94,D01,D8,D01_D8,Donor,NA,8,NA,stool,concoct,3188359,47,120191,98,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Barnesiellaceae,Barnesiella,Barnesiella intestinihominis,Barnesiella intestinihominis_1,9
3279_11,3279_11_S42_concoct_112,D01,D8,D01_D8,Donor,NA,8,NA,stool,concoct,2996143,46,92994,98,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,Duncaniella,Duncaniella sp900549445,Duncaniella sp900549445_1,70
3279_11,3279_11_S42_concoct_103,D01,D8,D01_D8,Donor,NA,8,NA,stool,concoct,4591990,136,55522,98,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides distasonis,Parabacteroides distasonis_1,1
3279_11,3279_11_S42_concoct_148,D01,D8,D01_D8,Donor,NA,8,NA,stool,concoct,2437600,38,158899,100,Bacteria,Bacillota,Clostridia,Christensenellales,QALW01,UMGS1322,UMGS1322 sp900550765,UMGS1322 sp900550765_1,163
3279_11,3279_11_S42_concoct_50,D01,D8,D01_D8,Donor,NA,8,NA,stool,concoct,2236150,57,69335,100,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,Collinsella sp.,Collinsella sp._1,31
3279_11,3279_11_S42_concoct_11,D01,D8,D01_D8,Donor,NA,8,NA,stool,concoct,6753393,216,58249,100,Unclassified Bacteria,NA,NA,NA,NA,NA,Unclassified Bacteria sp.,NA,NA
3279_11,3279_11_S42_metabat2_5,D01,D8,D01_D8,Donor,NA,8,NA,stool,metabat2,1762429,49,51727,96,Bacteria,Pseudomonadota,Alphaproteobacteria,RF32,CAG-239,CAZU01,CAZU01 sp000432275,CAZU01 sp000432275_1,172
3279_11,3279_11_S42_concoct_84,D01,D8,D01_D8,Donor,NA,8,NA,stool,concoct,4080783,213,30638,96,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides merdae,Parabacteroides merdae_1,28
3279_11,3279_11_S42_concoct_46,D01,D8,D01_D8,Donor,NA,8,NA,stool,concoct,2730782,20,224405,98,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Wujia,Wujia hominis,Wujia hominis_1,43
3279_11,3279_11_S42_concoct_45,D01,D8,D01_D8,Donor,NA,8,NA,stool,concoct,2980515,85,64567,100,Bacteria,Bacillota,Clostridia,Christensenellales,Aristaeellaceae,UBA11524,UBA11524 sp000437595,UBA11524 sp000437595_1,30
3279_11,3279_11_S42_metabat2_16,D01,D8,D01_D8,Donor,NA,8,NA,stool,metabat2,2736605,42,101758,94,Bacteria,Verrucomicrobiota,Verrucomicrobiia,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Akkermansia muciniphila,Akkermansia muciniphila_1,6
3279_11,3279_11_S42_metabat2_69,D01,D8,D01_D8,Donor,NA,8,NA,stool,metabat2,2468416,88,47568,96,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Eubacterium_F,Eubacterium_F sp003491505,Eubacterium_F sp003491505_1,25
3279_11,3279_11_S42_concoct_0,D01,D8,D01_D8,Donor,NA,8,NA,stool,concoct,2420716,224,16476,96,Bacteria,Bacillota,Clostridia,Oscillospirales,Ruminococcaceae,Gemmiger,Gemmiger qucibialis,Gemmiger qucibialis_1,12
3279_11,3279_11_S42_concoct_63,D01,D8,D01_D8,Donor,NA,8,NA,stool,concoct,2702559,106,65579,98,Bacteria,Bacillota,Clostridia,Oscillospirales,Acutalibacteraceae,Pseudoruminococcus,Pseudoruminococcus massiliensis,Pseudoruminococcus massiliensis_1,86
3279_11,3279_11_S42_concoct_10,D01,D8,D01_D8,Donor,NA,8,NA,stool,concoct,3230127,195,29827,100,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Anaerostipes,Anaerostipes hadrus,Anaerostipes hadrus_1,15
3279_11,3279_11_S42_concoct_54,D01,D8,D01_D8,Donor,NA,8,NA,stool,concoct,3003286,48,91074,100,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Fusicatenibacter,Fusicatenibacter saccharivorans,Fusicatenibacter saccharivorans_1,33
3279_11,3279_11_S42_concoct_23,D01,D8,D01_D8,Donor,NA,8,NA,stool,concoct,2741195,50,82401,100,Bacteria,Bacillota,Clostridia,UBA1381,UBA1381,Hominilimicola,Hominilimicola fabiformis,Hominilimicola fabiformis_1,24
3279_11,3279_11_S42_concoct_40,D01,D8,D01_D8,Donor,NA,8,NA,stool,concoct,4241120,240,31851,92,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides uniformis,Bacteroides uniformis_1,37
3279_11,3279_11_S42_concoct_62,D01,D8,D01_D8,Donor,NA,8,NA,stool,concoct,2473131,602,5321,92,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Adlercreutzia,Adlercreutzia rubneri,Adlercreutzia rubneri_1,67
3279_11,3279_11_S42_concoct_111,D01,D8,D01_D8,Donor,NA,8,NA,stool,concoct,2421995,36,116616,94,Bacteria,Bacillota,Clostridia,Oscillospirales,Ruminococcaceae,Ruminococcus_C,Ruminococcus_C sp000980705,Ruminococcus_C sp000980705_1,52
3279_11,3279_11_S42_concoct_116,D01,D8,D01_D8,Donor,NA,8,NA,stool,concoct,2141044,22,195465,96,Bacteria,Bacillota,Clostridia,Oscillospirales,Acutalibacteraceae,Ruminococcoides,Ruminococcoides intestinale,Ruminococcoides intestinale_1,8
3279_11,3279_11_S42_metabat2_53,D01,D8,D01_D8,Donor,NA,8,NA,stool,metabat2,2777004,51,95860,96,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Butyribacter,Butyribacter sp000436755,Butyribacter sp000436755_1,193
3279_11,3279_11_S42_metabat2_58,D01,D8,D01_D8,Donor,NA,8,NA,stool,metabat2,2179670,50,86094,96,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Eubacterium_F,Eubacterium_F sp000433735,Eubacterium_F sp000433735_1,108
3279_11,3279_11_S42_concoct_79,D01,D8,D01_D8,Donor,NA,8,NA,stool,concoct,2597418,170,21896,96,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Frisingicoccus,Frisingicoccus sp902471845,Frisingicoccus sp902471845_1,109
3279_11,3279_11_S42_concoct_106,D01,D8,D01_D8,Donor,NA,8,NA,stool,concoct,1773742,395,5450,90,Bacteria,Cyanobacteriota,Vampirovibrionia,Gastranaerophilales,Gastranaerophilaceae,CAG-196,CAG-196 sp002102975,CAG-196 sp002102975_1,218
3279_11,3279_11_S42_metabat2_97,D01,D8,D01_D8,Donor,NA,8,NA,stool,metabat2,2579329,83,45890,92,Bacteria,Bacillota,Clostridia,Oscillospirales,Ruminococcaceae,Hominimerdicola,Hominimerdicola aceti,Hominimerdicola aceti_1,22
3279_11,3279_11_S42_metabat2_14,D01,D8,D01_D8,Donor,NA,8,NA,stool,metabat2,1928552,117,26842,92,Bacteria,Bacillota,Clostridia,Oscillospirales,Ruminococcaceae,Angelakisella,Angelakisella sp900547385,Angelakisella sp900547385_1,90
3279_11,3279_11_S42_maxbin2_002,D01,D8,D01_D8,Donor,NA,8,NA,stool,maxbin2,2019162,85,249929,94,Bacteria,Bacillota,Clostridia,Oscillospirales,Acutalibacteraceae,CAG-217,CAG-217 sp000436335,NA,NA
3279_11,3279_11_S42_concoct_141,D01,D8,D01_D8,Donor,NA,8,NA,stool,concoct,2245949,183,20547,96,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Eubacterium_G,Eubacterium_G ventriosum,Eubacterium_G ventriosum_1,81
3279_11,3279_11_S42_metabat2_128,D01,D8,D01_D8,Donor,NA,8,NA,stool,metabat2,2431786,410,7413,94,Bacteria,Bacillota,Clostridia,Christensenellales,Aristaeellaceae,Ventricola,Ventricola sp900542445,Ventricola sp900542445_1,57
3279_11,3279_11_S42_concoct_138,D01,D8,D01_D8,Donor,NA,8,NA,stool,concoct,2772724,57,83025,96,Unclassified Bacteria,NA,NA,NA,NA,NA,Unclassified Bacteria sp.,NA,NA
3279_11,3279_11_S42_metabat2_52,D01,D8,D01_D8,Donor,NA,8,NA,stool,metabat2,2326412,166,22183,88,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Eubacterium_F,Eubacterium_F sp900539115,Eubacterium_F sp900539115_1,124
3279_11,3279_11_S42_metabat2_8,D01,D8,D01_D8,Donor,NA,8,NA,stool,metabat2,987589,104,12145,84,Bacteria,Bacillota,Bacilli,RF39,UBA660,CAG-302,CAG-302 sp000431795,CAG-302 sp000431795_1,153
3279_11,3279_11_S42_concoct_67,D01,D8,D01_D8,Donor,NA,8,NA,stool,concoct,1993061,255,10581,86,Bacteria,Bacillota,Clostridia,Oscillospirales,Oscillospiraceae,Onthomonas,Onthomonas sp900545815,Onthomonas sp900545815_1,137
3279_11,3279_11_S42_concoct_15,D01,D8,D01_D8,Donor,NA,8,NA,stool,concoct,2012164,340,7227,84,Bacteria,Bacillota,Clostridia,Oscillospirales,Acutalibacteraceae,Hominenteromicrobium,Hominenteromicrobium mulieris,Hominenteromicrobium mulieris_1,18
3279_11,3279_11_S42_concoct_107,D01,D8,D01_D8,Donor,NA,8,NA,stool,concoct,1684123,159,13747,76,Bacteria,Bacillota,Clostridia,Oscillospirales,Oscillospiraceae,Vescimonas,Vescimonas coprocola,Vescimonas coprocola_1,7
3279_11,3279_11_S42_metabat2_3,D01,D8,D01_D8,Donor,NA,8,NA,stool,metabat2,1384859,49,39063,78,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Hominisplanchenecus,Hominisplanchenecus faecis,Hominisplanchenecus faecis_1,32
3279_11,3279_11_S42_concoct_132,D01,D8,D01_D8,Donor,NA,8,NA,stool,concoct,3589813,96,75017,100,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Anthropogastromicrobium,Anthropogastromicrobium aceti,Anthropogastromicrobium aceti_1,35
3279_11,3279_11_S42_concoct_30,D01,D8,D01_D8,Donor,NA,8,NA,stool,concoct,1835051,767,2654,76,Bacteria,Bacillota,Clostridia,UBA1381,UMGS1253,Aphodoplasma,Aphodoplasma sp900550065,Aphodoplasma sp900550065_1,362
3279_11,3279_11_S42_concoct_129,D01,D8,D01_D8,Donor,NA,8,NA,stool,concoct,2378262,57,70420,71,Bacteria,Bacillota,Clostridia,Oscillospirales,Oscillospiraceae,Limivicinus,Limivicinus sp003150355,Limivicinus sp003150355_1,94
3279_11,3279_11_S42_metabat2_17,D01,D8,D01_D8,Donor,NA,8,NA,stool,metabat2,2168737,110,37526,71,Bacteria,Bacillota,Clostridia,Oscillospirales,Ruminococcaceae,Gemmiger,Gemmiger formicilis,Gemmiger formicilis_1,72
3279_11,3279_11_S42_concoct_35,D01,D8,D01_D8,Donor,NA,8,NA,stool,concoct,1620578,655,2787,73,Bacteria,Bacillota,Clostridia,Lachnospirales,Anaerotignaceae,Anaerotignum_A,Anaerotignum_A faecicola,Anaerotignum_A faecicola_1,97
3279_11,3279_11_S42_metabat2_102,D01,D8,D01_D8,Donor,NA,8,NA,stool,metabat2,1903305,156,20688,73,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Dorea_A,Dorea_A longicatena,Dorea_A longicatena_1,319
